qid,query
91,what interference effects are likely at transonic speeds .
92,"given complete freedom in the design of an airplane,  what procedure would be used in order to minimize sonic boom intensity,  and is there a limit to the degree of minimizing that can be accomplished ."
94,what is the theoretical heat transfer rate at the stagnation point of a blunt body .
96,has anyone investigated the unsteady lift distributions on finite wings in subsonic flow .
97,what information is available for dynamic response of airplanes to gusts or blasts in the subsonic regime .
100,what are the effects of initial imperfections on the elastic buckling of cylindrical shells under axial compression .
101,why does the incremental theory and the deformation theory of plastic stress-strain relationship differ greatly when applied to stabilityproblems .
104,can the load deformation characteristics of a beam be obtained with the material being inelastic and a non uniform temperature being present .
108,what data is there on the fatigue of structures under acoustic loading .
109,panels subjected to aerodynamic heating .
111,have the effects of an elastic edge restraint been considered in previous papers on panel flutter .
120,are previous analyses of circumferential thermal buckling of circular cylindrical shells unnecessarily involved or even inaccurate due to the assumed forms of buckling mode .
121,what papers are there dealing with circumferential buckling either thermal buckling or due to mechanical loading .
122,what analytical investigations have been made of the stability of conical shells . how do the results compare with experiment .
125,jet interference with supersonic flow  -dash experimental papers .
126,thrust vector control by fluid injection -dash papers .
129,has anyone derived simplified pump design equation from the fundamental three-dimensional equations for incompressible nonviscous flow .
130,what are the flutter characteristics of the exposed skin panels of the x-15 vertical stabilizer when subjected to aerodynamic heating .
131,what agreement is found between theoretically predicted instability times and experimentally measured collapse times for compressed columns in creep .
132,theoretical studies of creep buckling .
141,what analytical solutions are available for stresses in edge-loaded shells of revolution .
144,can studies of pure membrane cylinders having no wall bending stiffness but maintaining their shape by virtue of internal pressure provide any insight into the behaviour of pressurized cylinders with finite wall stiffness .
145,what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending .
147,what are the equations which define the stability of simply supported corrugated core sandwich cylinders .
148,papers on small deflection theory for buckling of sandwich cylinders .
149,has anyone developed an analysis which accurately establishes the large deflection behaviour of conical shells .
152,"how can the effect of the boundary-layer on wing pressure be calculated, and what is its magnitude ."
155,technical report on measurement of ablation during flight .
156,what qualitative and quantitative material is available on ablation materials research .
157,have flow fields been calculated for blunt-nosed bodies and compared with experiment for a wide range of free stream conditions and body shapes .
158,what are the available properties of high-temperature air .
159,what is the magnitude of aerodynamic damping in flexible vibration modes of a slender body of revolution characteristic of launch vehicles .
162,what accurate or exact solutions of the laminar separation point for various incompressible and compressible boundary layers with zero heat transfer are available .
164,what determines the onset of shock-induced boundary-layer separation .
166,are there experimental results on the stability of a compressible boundary layer induced by a moving wave .
170,"why do users of orthodox pitot-static tubes often find that the calibrations appear to be,. - (a) significantly different from those formerly specified,  (b) wildly variable at low reynolds numbers ."
175,work on flow in channels at low reynolds numbers .
176,some approximate analytical heat conduction solutions using methods other than biot's principle .
181,jet interference with supersonic flows theoretical papers .
183,what factors have been shown to have a primary influence on sonic boom strength .
184,work on small-oscillation re-entry motions .
185,experimental studies on panel flutter .
186,"how can wing-body, flow field interference effects be approximated rationally ."
187,has anyone analytically or experimentally investigated the effects of internal pressure on the buckling of circular-cylindrical shells under bending .
188,what theoretical and experimental work has been done on the excitation and response of typical structures in a noise environment .
