docid,author,bibliography,body,title
29,"isakson,g.","j. ae. scs. 24, 1957, 611.","a simple model study of transient temperature and thermal stress distribution due to aerodynamic heating .   the present work is concerned with the determination of transient temperatures and thermal stresses in simple models intended to simulate parts or the whole of an aircraft structure of the built- up variety subjected to aerodynamic heating .   the first case considered is that of convective heat transfer into one side of a flat plate, representing a thick skin, and the effect of the resulting temperature distribution in inducing thermal stresses associated with bending restraint at the plate edges . numerical results are presented for the transient temperature differentials in the plate when the environment temperature first increases linearly with time and then remains constant, the period of linear increase representing the time of acceleration of the aircraft .  corresponding thermal stress information is presented .   the second case is that of the wide-flanged i-beam with convective heat transfer into the outer faces of the flanges .  numerical results are presented for transient temperature differentials for a wide range of values of the applicable parameters and for an environment temperature variation as described above . corresponding thermal stresses in a beam of infinite length are determined .  a theoretical analysis of the stress distribution in a beam of finite length is carried out and numerical results obtained for one case .  an experimental investigation of temperatures and stresses in such a beam is described, and results are presented which indicate good agreement with corresponding theoretical results .",a simple model study of transient temperature and thermal stress distribution due to aerodynamic heating .
31,"hoff,n.j.","j. ae. scs. 23, 1956, 1019.",thermal buckling of supersonic wing panels .   the temperature and thermal stress distributions are analyzed in multicellular supersonic wing structures .  a buckling criterion is established for the panels of cover plates subjected to thermal stresses .,thermal buckling of supersonic wing panels .
32,"friedrich,h.r. and dore,f.j.","j. ae. scs. 22, 1955, 628.","the dynamic motion of a missile descending through the atmosphere .   a method is presented for computing rapidly, yet accurately, the dynamic motion of a ballistic-type missile descending through the atmosphere .  the equations of motion are separated into a set of /static/ trajectory equations (zero angle of attack) and a set of /rotational/ equations describing the oscillatory motion of the missile about its center of gravity .  a transformation allows the rotational equations to be written in a manner analogous to the equation for an undamped oscillating spring mass system with the mass equal to unity and a time variable spring constant .  for given initial conditions this equation can be solved to obtain the envelope of maximum angle of attack .  an additional transformation allows the calculation of the complete oscillatory motion at any time during the trajectory as a function of the maximum angle of attack at that time .   this solution shows that the maximum angle of attack of a missile descending through the atmosphere at relatively constant speed is reduced even when the aerodynamic damping is neglected .",the dynamic motion of a missile descending through the atmosphere .
39,"sinnott,c.s.","j.ae.scs. 26, 1959, 169.","on the flow of a sonic stream past an airfoil surface .   this study of the flow about an airfoil in a near-sonic stream indicates the important factors determining the pressure distribution on the airfoil .  analysis of the mach wave pattern suggests that the supersonic domain of the flow can be derived from two simple-wave flows, one arising from the mach waves reflected at the sonic line and the other from the changes in airfoil surface slope .  the compressive effect of the reflected mach waves is determined quantitatively as a function of airfoil leading-edge geometry from an analysis of measured pressure distributions for uncambered airfoils,. and it is shown how this can be superimposed on the wave system from the curved surface to give an equivalent simple-wave flow over the airfoil .   an application of this scheme to the calculation of the pressure distribution over an airfoil in a sonic stream gives results in good agreement with experiment .",on the flow of a sonic stream past an airfoil surface .
40,"van driest,e.r. and boison,j.c.","j. ae. scs. 24, 1957, 885.","experiments on boundary layer transition at supersonic speeds .   tests were conducted in the 12-in. continuous supersonic wind tunnel of the jet propulsion laboratory, california institute of technology, to determine the effects of surface cooling on boundary-layer transition at supersonic speeds .  the effects of cooling were investigated at test section mach numbers of 1.97, smooth cone in the presence of three levels of supply-stream turbulence (0.4, 2, and 9 per cent) and several single-element roughnesses at fixed axial location .  transition data were obtained optically by means of a magnified-schlieren system .  the results, for the range of mach number investigated, indicate that (1) transition on a smooth cone can definitely be delayed by surface cooling, (2) transition promoted by either supply-stream turbulence or surface roughness can also be delayed by surface cooling depending upon degree of turbulence or relative roughness respectively, and (3) the adverse effects of increased turbulence and roughness decrease with increasing mach number .",experiments on boundary layer transition at supersonic speeds .
41,"morkovin,m.v.","j. ae. scs. 24, 1957, 480.",on transition experiments at moderate supersonic speeds .   studies of transition over a flat plate at mach number 1.76 were carried out using a hot-wire anemometer as one of the principal tools .  the nature and measurements of free-stream disturbances at supersonic speeds are analyzed .  the experimental results are interpreted in the light of present overall information on transition at supersonic speeds and conclusions as to further fruitful experiments are drawn .,on transition experiments at moderate supersonic speeds .
48,"willett,j.e.","j. ae. scs. 27, 1960, 907.","supersonic flow at the surface of a circular cone at angle of attack .   formulas for the inviscid flow properties on the surface of a cone at angle of attack are derived for use in conjunction with the m.i.t. cone tables .  these formulas are based upon an entropy distribution on the cone surface which is uniform and equal to that of the shocked fluid in the windward meridian plane .  they predict values for the flow variables which may differ significantly from the corresponding values obtained directly from the cone tables .  the differences in the magnitudes of the flow variables computed by the two methods tend to increase with increasing free-stream mach number, cone angle and angle of attack .",supersonic flow at the surface of a circular cone at angle of attack .
51,"o'sullivan,w.j.","naca tn.4115, 1957.","theory of aircraft structural models subjected to aerodynamic heating and external loads .   the problem of investigating the simultaneous effects of transient aerodynamic heating and external loads on aircraft structures for the purpose of determining the ability of the structure to withstand flight to supersonic speeds is studied .  by dimensional analyses it is shown that .. constructed of the same materials as the aircraft will be thermally similar to the aircraft with respect to the flow of heat through the structure will be similar to those of the aircraft when the structural model is constructed at the same temperature as the aircraft . external loads will be similar to those of the aircraft . subjected to heating and cooling that correctly simulate the aerodynamic heating of the aircraft, except with respect to angular velocities and angular accelerations, without requiring determination of the heat flux at each point on the surface and its variation with time . acting on the aerodynamically heated structural model to those acting on the aircraft is determined for the case of zero angular velocity and zero angular acceleration, so that the structural model may be subjected to the external loads required for simultaneous simulation of stresses and deformations due to external loads .",theory of aircraft structural models subjected to aerodynamic heating and external loads .
57,"rossow,v.j.","naca tn.2399, 1951.","applicability of the hypersonic similarity rule to pressure distributions which include the effects of rotation for bodies of revolution at zero angle of attack .   the analysis of technical note 2250, 1950, is extended to include the effects of flow rotation .  it is found that the theoretical pressure distributions over ogive cylinders can be related by the hypersonic similarity rule with sufficient accuracy for most engineering purposes .   the error introduced into pressure distributions and drag of ogive cylinders by ignoring the rotation term in the characteristic equations is investigated .  it is found that the influence of the rotation term on pressure distribution and drag depends only upon the similarity parameter k (mach number divided by fineness ratio) . although the error in drag, due to neglect of the rotation term, is negligible at k=0.5, the error is about 30 percent at k=2.0 .   charts are presented for the rapid determination of pressure distributions for rotational flow over ogive cylinders for all values of the similarity parameter between 0.5 and of mach number and fineness ratio .",applicability of the hypersonic similarity rule to pressure distributions which include the effects of rotation for bodies of revolution at zero angle of attack .
58,"amick,j.l.","nasa tn.d753, 1961.","pressure measurements on sharp and blunt 5 and 15 half-angle cones at mach number 3.86 and angles of attack to 100 .   measured pressure distributions on cones are compared with modified newtonian theory .  deviations as large as 14 percent of the stagnation pressure behind a normal shock are found . by combining empirical results for cylinders normal to the flow with newtonian concepts, a method of calculating pressures on cones at high angles of attack is developed . calculations by this method differ from the experimental results on sharp cones by only 2 percent of the stagnation pressure behind a normal shock .  for blunted cones, additional deviations up to 8 percent are noted near the nose .   schlieren pictures of the flow show an attached shock on the sharp of attack .  detachment of the shock appears to be associated with the attainment of sonic speed immediately behind the shock .   an orifice size effect is found which can increase the indicated pressure above the true value, if the orifice width is greater than one-tenth the local radius of curvature .",pressure measurements on sharp and blunt 5 and 15 half-angle cones at mach number 3.86 and angles of attack to 100 .
62,"cohen,c.b. and reshotko,e.","naca tn.3325, 1955.","similar solutions for the compressible laminar boundary layer with heat transfer and pressure gradient .   stewartson's transformation is applied to the laminar compressible boundary-layer equations and the requirement of similarity is introduced, resulting in a set of ordinary nonlinear differential equations previously quoted by stewartson, but unsolved .  the requirements of the system are ..  prandtl number of 1.0, linear viscosity-temperature relation across the boundary layer, an isothermal surface, and the particular distributions of free-stream velocity consistent with similar solutions . this system admits axial pressure gradients of arbitrary magnitude, heat flux normal to the surface, and arbitrary mach numbers .   the system of differential equations is transformed to an integral system, with the velocity ratio as the independent variable .  for this system, solutions are found for pressure gradients varying from that causing separation to the infinitely favorable gradient and for wall temperatures from absolute zero to twice the free-stream stagnation temperature .  some solutions for separated flows are also presented .   for favorable pressure gradients, the solutions are unique .  for adverse pressure gradients, where the solutions are not unique, two solutions of the infinite family of possible solutions are identified as essentially viscid at the outer edge of the boundary layer and the remainder essentially inviscid .  for the case of favorable pressure gradients with heated walls, the velocity within a portion of the boundary layer is shown to exceed the local external velocity . the variation of a reynolds analogy parameter, which indicates the ratio of skin friction to heat transfer, is from zero to 7.4 for a surface of temperature twice the free-stream stagnation temperature, and from zero to 2.8 for a surface held at absolute zero where the value 2 applies to a flat plate .",similar solutions for the compressible laminar boundary layer with heat transfer and pressure gradient .
67,tobak and allen.,"naca tn.4275, 1958.","dynamic stability of vehicles traversing ascending or descending paths through the atmosphere .   an analysis is given of the oscillatory motions of vehicles which traverse ascending and descending paths through the atmosphere at high speed .  the specific case of a skip path is examined in detail, and this leads to a form of solution for the oscillatory motion which should recur over any trajectory .  the distinguishing feature of this form is the appearance of the bessel rather than the trigonometric function as the characteristic mode of oscillation .",dynamic stability of vehicles traversing ascending or descending paths through the atmosphere .
74,"gooderum,p.n.","naca tn.4243, 1958.",an experimental study of the turbulen coundary layer on a shock tube wall .   interferometric measurements were made of the density profiles of an unsteady turbulent boundary layer on the flat wall of a shock tube . the investigation included both subsonic and supersonic flow (mach numbers of 0.50 and 1.77) with no pressure gradient and with heat transfer to a cold wall .  velocity profiles and average skin-friction coefficients were calculated .  effects on the velocity profile of surface roughness and flow length are examined .,an experimental study of the turbulen coundary layer on a shock tube wall .
75,"hess,n.w.","naca tn.4050, 1957.","studies of structural failure due to acoustic loading .   some discussion of the acoustic fatigue problem of aircraft structures is given along with data pertaining to the acoustic inputs from some powerplants in common use .  comparisons are given for results of some fatigue tests of flat panels and cantilever beams exposed to both random- and discrete-type inputs .  in this regard it appears that both the stress level of the test and the type of model are significant,. hence, no generalization can be made at this time .  with regard to increasing the fatigue life, it was noted that increased stiffening of a panel due to curvature and pressure differential is particularly beneficial .",studies of structural failure due to acoustic loading .
84,"libby,pa. and cresci,r.j.","j. ae. scs. 28, 1961, 51.","experimental investigation of the downstream influence of stagnation point mass transfer .   this report presents the results of an experimental investigation of the downstream influence of localized mass transfer in the stagnation region of a blunt body under hypersonic flow conditions .  the coolant is injected through a porous plug coaxial with the centerline of symmetry of the model .  the tests were carried out in a wind tunnel with a mach number of 6.0, stagnation temperatures of approximately 1,600 r., and a stagnation pressure of approximately 600 psia .  four different gases were injected over a range of mass flows .  the heat transfer on the impermeable section was measured under isothermal wall conditions,. for the higher rates of mass flow, adiabatic surface temperatures were also determined .  the theoretical analysis of the boundary-layer flow is investigated in order to establish the similarity parameters for the flow system .  these parameters permit the extrapolation of the test results to other flow conditions, provided that laminar flow prevails .  helium is found to be the most efficacious coolant .",experimental investigation of the downstream influence of stagnation point mass transfer .
87,pau-chang lu,"graduate assistant, department of mechanical engineering, case institute of technology, cleveland, ohio","free-convection magnetohydrodynamic flow past a porous flat plate . the incompressible flow of an electrically conducting fluid past a porous plate with constant suction velocity in the presence of a transverse uniform strength has recently been investigated by gupta .  in this note, the problem is generalized to take into account the effect of free convection, when a body force is acting parallel to the wall .  the fluid is assumed to be semi-incompressible as usual .  in addition to the obvious practical significance, this problem is also interesting in the sense that it provides another exact solution of the magnetohydrodynamic equations, since the only electromagnetic assumptions involved are constant properties and freedom from excessive charges .",free-convection magnetohydrodynamic flow past a porous flat plate .
88,"cramer,k.r.","j. ae. scs. 28, 1961, 736.","magnetohydrodynamic free-convection pipe flow . it has been shown that transverse magnetic fields of practical strengths exert considerable influence on liquid-metal, free-convection, vertical, flat-plate and parallel-plate flow fields . the extent of influence was determined by the magnitude of a nondimensional parameter a which is the ratio of the hartmann number to the fourth root of the grashof number, and is a measure of the relative influence of the magnetic and buoyant forces .  in this note the steady, fully developed, laminar, free-convection flow of a fluid of electrical conductivity through a fully submerged, open-ended, constant-temperature, vertical pipe located in a transverse magnetic field of strength is analyzed in terms of the same parameter .  the magnitude of its influence on the velocity and temperature profiles, the surface shear and heat transfer, and the volumetric flow rate is determined .",magnetohydrodynamic free-convection pipe flow .
90,"stonecypher,t.e.","j. ae. scs. 27, 1960, 152.","periodic temperature distributions in a two-layer composite slab . an investigation to determine the feasibility of using an insulating thermal barrier to protect exposed solid propellant motors from atmospheric or environmental temperature variations has recently been completed .  in one portion of this study, a solution was developed for the periodic temperature distribution in a two-layer composite slab .  one exposed surface of this composite slab was adiabatic, and the other exposed surface was subjected to a sinusoidal temperature variation .  the technique used in the analysis was similar to that of grober .  in this note, pertinent features of the development of the solution are given .",periodic temperature distributions in a two-layer composite slab .
91,w. f. campbell,"national aeronautical establishment, ottawa, ont., canada","periodic temperature distribution in a two-layer composite slab . in a recent contribution to the reader's forum, under the above title, stonecypher outlined a method for finding the periodic temperature distribution in a two-layer composite slab, one exposed surface of the slab being insulated and the other subject to a sinusoidal temperature variation .  perfect thermal contact between the two layers, and constant thermal properties were assumed . two years ago i drew attention in these pages to a method for determining the transient temperature in such a two-layer slab resulting from a triangular heat-input pulse .  i should like to point out that this same method also is applicable to the case where one external face is given a sinusoidal temperature variation with time .  the method is based on the analogy between one-dimensional heat flow and the flow of an electric current in a simple transmission line having only series resistance and parallel capacitance .",periodic temperature distribution in a two-layer composite slab .
93,"van dyke,m.d.","j. ae. scs. 25, 1958, 485.","the supersonic blunt body problem - review and extensions .   a survey of existing analytical treatments of the supersonic or hypersonic blunt-body problem indicates that none is adequate for predicting the details of the flow field .  reasons are given for the failure of various plausible approximations .  a numerical method, which is simpler than others proposed, is set forth for solving the full inviscid equations using a medium-sized electronic computer .  results are shown from a number of solutions for bodies that support detached shock waves described by conic sections .",the supersonic blunt body problem - review and extensions .
94,"probstein,r.f. and elliott,d.","j. ae.scs. 28, 1956, 206.","the transverse curvature effect in compressible axially symmetric laminar boundary layer flow .   the viscous transverse curvature effect in compressible axially symmetric laminar boundary-layer flow has been investigated, and it is found that the effect is characterized by the parameter which is essentially the ratio of the boundary-layer thickness to body radius .  it is shown that the busemann and crocco integrals of the two-dimensional energy equation for are still valid for axially symmetric flow in which the transverse curvature effects are considered .  by a generalization of mangler's transformation it is then shown that the boundary-layer equations are reducible to an almost two-dimensional form, making the analysis simpler for two asymptotic flow regions characterized by and less than or of the order of unity . it is with the latter region that the present paper is primarily concerned, and for this case it is shown that the additional term in the momentum and energy equations, which differentiates them from the two-dimensional form, behaves like an external favorable pressure gradient .   except for certain special cases it is necessary to obtain the of the order of unity by means of asymptotic expansions in ascending powers of a parameter that is small compared to unity but proportional to .  it is shown how the asymptotic solutions can be found for (1) the velocity and temperature distributions for the compressible zero pressure gradient case when the body shapes are given by and and (2) the velocity distribution for incompressible flow with an external velocity of the form past a body given by .  the zeroth approximation is the mangler result .  for the cases of a linear external velocity distribution, similar profiles can be found for all values of .  more generally it is shown that similar profiles exist if the exponents n and m satisfy the condition that . here, similar is used in the restricted meaning that the distributions are derivable from ordinary differential equations .   in the case of the cone and cylinder with zero pressure gradient where the equations have been numerically integrated for, the first-order correction to the mangler formulation shows that the effect on both the skin-friction coefficient and heat-transfer rate can become appreciable in the range where is less than or of the order of unity .  at a constant, the effects are increased in magnitude when either the ratio of wall to free-stream temperature, or mach number, is increased .  also, all other conditions being equal, for the same value of the skin-friction coefficient and heat-transfer increase on the cylinder is greater than that on the cone .   for flows with pressure gradient, the transverse curvature term behaves again like a favorable pressure gradient and tends to delay both separation and transition when compared with axially symmetric flows in which the transverse curvature effect is neglected .",the transverse curvature effect in compressible axially symmetric laminar boundary layer flow .
97,"crocco,l. and lees,l.","j. ae. scs. 19, 1952, 649.","a mixing theory for the interaction between dissipative flows and nearly isentropic streams .   by means of a simplified theoretical /model,/ the present paper treats the general class of flow problems characterized by the interaction between a viscous or dissipative flow near the surface of a solid body, or in its wake, and an /outer/ nearly isentropic stream .  for the present, the external flow is taken to be a plane, steady, supersonic flow, which makes a small angle with a plane surface or plane of symmetry, although the methods used can be extended to curved surfaces, to axially symmetric supersonic flows, and also to subsonic flows .  the internal dissipative flow is regarded as quasi-one-dimensional and parallel to the surface on the average, with a properly defined mean velocity and mean temperature .  the nonuniformity of the actual velocity distribution is taken into account only approximately by means of a relation between mean temperature and mean velocity . mixing, or the transport of momentum from outer stream to dissipative flow, is considered to be the fundamental physical process determining the pressure rise that can be supported by the flow . with the aid of this concept, a large number of flow problems is shown to be basically similar, such as boundary-layer shockwave interaction, wake flow behind blunt-based bodies (base pressure problem), flow separation in overexpanded supersonic nozzles, separation on wings and bodies, etc .",a mixing theory for the interaction between dissipative flows and nearly isentropic streams .
101,lester lees,"the ramo-wooldridge corporation, los angles, and california institute of technology, pasadena, california","laminar heat transfer over blunt-nosed bodies at hypersonic flight speeds . this paper deals with two limiting cases of laminar heat transfer over blunt-nosed bodies at hypersonic flight speeds, or high stagnation temperatures..  (a) thermodynamic equilibrium, in which the chemical reaction rates are regarded as /very fast/ compared to the rates of diffusion across streamlines., (b) diffusion as rate-governing, in which the volume recombination rates within the boundary layer are /very slow/ compared to diffusion across streamlines .  in either case the gas density near the surface of a blunt-nosed body is much higher than the density just outside the boundary layer, and the velocity and stagnation enthalpy profiles are much less sensitive to pressure gradient than in the more familiar case of moderate temperature differences .  in fact, in case (a), the nondimensionalized enthalpy gradient at the surface is represented very accurately by the /classical/ zero pressure gradient value, and the surface heat-transfer rate distribution is obtained directly in terms of the surface pressure distribution .  in order to illustrate the method, this solution is applied to the special cases of an unyawed hemisphere and an unyawed, blunt cone capped by a spherical segment . in the opposite limiting case where diffusion is rate-controlling the diffusion equation for each species is reduced to the same form as the low-speed energy equation, except that the prandtl number is replaced by the schmidt number .  the simplifications introduced in case (a) are also applicable here, and the expression for surface heat transfer rate is similar., the maximum value of the ratio between the rate of heat transfer by diffusion alone and by heat conduction alone in the case of thermodynamic equilibrium is given by..  (prandtl no./schmidt no .) when the diffusion coefficient is estimated by taking a reasonable value of atom-molecule collision cross section this ratio is 1.30 . additional theoretical and (especially) experimental studies are clearly required before these simple results are accepted .",laminar heat transfer over blunt-nosed bodies at hypersonic flight speeds .
104,"reeves,b.l.","a.r.s. jnl. 31, 1961, 517.","similar solutions of a free convection boundary layer equation for an electrically conducting fluid .   author investigates the existence of a class of similar solutions for free convection from a vertical flat plate, such as are known for free convection in a nonconducting fluid .  the magnetic field acts transversely to the fluid motion and is assumed to remain constant in the direction perpendicular to the plate .  this introduces into the momentum equation a retarding force which is a function only of x, the distance along the plate length .  for similarity it is found that the magnetic inductance must vary as .  if the plate temperature is constant .  if n = 0, the magnetic inductance is constant while the plate temperature increases linearly with x .",similar solutions of a free convection boundary layer equation for an electrically conducting fluid .
105,"stewartson,k.","q.app.math. 13, 1955, 113.","the asymptotic boundary layer on a circular cylinder in axial incompressible flow .   in this paper the incompressible boundary layer over a circular cylinder in an axial flow is investigated far from the leading edge .  if u and v are the velocity components in the x and r direction respectively and a stream function is introduced by and, then for a constant free-stream velocity has the following asymptotic form .. where the p's are determined successively, first for s=1 and all t, then s=2 and all t, etc., from ordinary differential equations .  here and log c=euler's constant .  it is shown that the effect of the curvature of the body (in planes perpendicular to the flow) is to increase the skin friction .  also the case in which the free-stream velocity is proportional to (at the method breaks down), is studied .  it is concluded that the effect of the curvature of the cylinder, when the boundary layer has a thickness comparable with its radius of curvature, is to delay separation .",the asymptotic boundary layer on a circular cylinder in axial incompressible flow .
111,"leigh,d.c.f.","proc. cam. phil. s. 51, 1955, 320.","the laminar boundary layer equation: a method of solution by means of an automatic computer .   a method, very suitable for use with an automatic computer, of solving the hartree-womersley approximation to the incompressible boundary-layer equation is developed . it is based on an iterative process and the choleski method of solving a simultaneous set of linear algebraic equations . the programming of this method for an automatic computer is discussed .  tables of a solution of the boundary-layer equation in a region upstream of the separation point are given .  in the upstream neighbourhood of separation this solution is compared with goldstein's asymptotic solution and the agreement is good .",the laminar boundary layer equation: a method of solution by means of an automatic computer .
119,"vodicka,v.","app.sc.res. 5, 1955, 108.","conduction of fluctuating heat flow in a wall consisting of many layers .   van gorcum has pointed to interesting and important analogies between the theory of a passive four-pole and the conduction of heat waves through stratiform bodies .  this paper generalizes in certain regards van gorcum's ideas and draws their consequences for the case of a solid, bounded by two infinite parallel planes and consisting of any number of layers made from different materials .",conduction of fluctuating heat flow in a wall consisting of many layers .
121,"korst,h.h.","j.app.mech. 23, 1956, 593.","a theory for base pressures in transonic and supersonic flow .   a physical flow model is devised based on the concepts of interaction between the dissipative shear flow and the adjacent free stream and the conservation of mass in the wake .  four flow components are integrated in the model,. namely, the flow approaching the trailing edge, the expansion around the trailing edge, the mixing within the free-jet boundary, and the recompression at the end of the wake .  a unique and stable solution results for the base pressure .  theoretical results obtained for thin approaching boundary layer do not require empirical information and are, therefore, best suited to evaluate the merits of the theory .  here emphasized is the case of isoenergetic constant-pressure mixing in the turbulent free-jet boundary and agreement is found between theory and experimental data .",a theory for base pressures in transonic and supersonic flow .
122,willi f. jacobs,"lockheed aircraft corporation, georgia division","a simplified approximate method for the calculation of the pressure around conical bodies of arbitrary shape in supersonic and hypersonic flow . exact conical-flow solutions are available only for circular cones at zero angle of attack .  for nonaxisymmetric cones or cones at angle of attack, only approximate methods exist .  these methods are generally quite complicated and further limited to certain body shapes or certain mach-number ranges .  a great need was therefore felt for a simple approximate method applicable to any arbitrarily shaped conical body at zero incidence as well as at angle of attack . such a method has been developed recently at lockheed and is presented here in abbreviated form .  the method is based on the /equivalent-cone/ theory .  this theory determines the pressure on a conical body utilizing information for a symmetric cone at zero angle of attack with the same normal component of the free stream with respect to the surface as the local element of the body considered .  this method works relatively well at high mach numbers .  however, it is quite inconsistent at lower mach numbers, especially for bodies which deviate considerably from circular cones .  the equivalent-cone method does not give satisfactory results, mainly due to the fact that it considers only the local surface element on the body independent of the other body elements in the newtonian-theory manner .",a simplified approximate method for the calculation of the pressure around conical bodies of arbitrary shape in supersonic and hypersonic flow .
