text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted
@Jaggesh2 Bharat band on 28??<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>Those who  are protesting #demonetization  are all different party leaders.,False,0,Jaggesh2,2016-11-23 18:37:15,False,8.014820815114486e+17,8.014948400181084e+17,1225924610.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",yuvaraj_karki,0,False,False
"RT @Atheist_Krishna: The effect of #Demonetization !!
. https://t.co/A8of7zh2f5",False,0,,2016-11-23 18:36:39,False,,8.01494687345324e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PMKejri,45,True,False
RT @sona2905: When I explained #Demonetization to myself and tried to put it down in my words which are not laced with any heavy technical,False,0,,2016-11-23 18:36:37,False,,8.014946792586771e+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hkgupta16,50,True,False
RT @Dipankar_cpiml: The Modi app on #DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards,False,0,,2016-11-23 18:35:22,False,,8.014943669172307e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aazaadparinda,45,True,False
"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",False,0,,2016-11-23 18:34:57,False,,8.014942620472403e+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",snoovemehrotra,95,True,False
RT @pGurus1: #Demonetization The co-operative banking sector in Kerala is as good as a tax haven. Is Kerala a Black Money HQ? https://t.co/,False,0,,2016-11-23 18:34:17,False,,8.01494094073598e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vishwaamitra,76,True,False
"RT @MahikaInfra: @narendramodi
@Swamy39
The success of #Demonetization will depend on how swiftly govt replenish the currency

Pls avoid Ba",False,0,,2016-11-23 18:33:28,False,,8.014938866947809e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GajjarBharatc,53,True,False
"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo",False,0,,2016-11-23 18:32:41,False,,8.014936911604038e+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mrx565,20,True,False
RT @AAPVind: #Demonetization Is Disaster!  @naam_pk,False,0,,2016-11-23 18:31:54,False,,8.014934949256397e+17,,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",sehgal_indian,7,True,False
"RT @Gadgets360: After the #demonetization, searches about #NarendraModi's app are trending on app stores https://t.co/ZetKRqqClX",False,0,,2016-11-23 18:31:48,False,,8.014934701037773e+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",meghnabasu2,11,True,False
"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu",False,0,,2016-11-23 18:31:11,False,,8.014933138954035e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",trollabhakt,6,True,False
"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't",False,0,,2016-11-23 18:31:02,False,,8.01493273550299e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",manni_1986,76,True,False
RT @mayankjain100: #demonetization is Communal and Black Money is Secular...,False,0,,2016-11-23 18:30:08,False,,8.014930479889939e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GHOSTBUSTOR,1,True,False
LOL. #Demonetization Effect. https://t.co/aA5lfy9ALG,False,0,,2016-11-23 18:28:41,False,,8.014926851230022e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sradeep_d,0,False,False
RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o https://t.co/TPYJgXFBY8,False,0,,2016-11-23 18:27:24,False,,8.01492360744108e+17,,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",AnandMiishra,0,False,False
@arunjaitley @narendramodi Lrnd frm a frnd-Banks r asking employees to comeback 2sales &amp; BAU Operations #Demonetization,False,0,arunjaitley,2016-11-23 18:26:45,False,,8.01492197690331e+17,2183816041.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",navsinfosec,0,False,False
RT @kanimozhi: Ts is exactly what Pappu &amp; opposition has done to themselves by opposing #Demonetization Now none can stop Modi bandwagon ti,False,0,,2016-11-23 18:26:23,False,,8.014921031003873e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RN_BJP,41,True,False
"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t",False,0,,2016-11-23 18:26:11,False,,8.014920541319494e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mukeshrai881,9,True,False
@dineshgrao you have 12.5 k followers yet you are not getting enough likes for your tweets against #demonetization. You need to introspect.,False,0,dineshgrao,2016-11-23 18:25:27,False,,8.014918702453882e+17,347102273.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ShankareGowdaM,0,False,False
"#DeMonetization Effect : Visa, Master Card, Amex all Accepted :) https://t.co/ozDwcPKjaI",False,0,,2016-11-23 18:25:24,False,,8.014918566263315e+17,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",zailetblog,0,False,False
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na",False,0,,2016-11-23 18:24:44,False,,8.014916887576945e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kmvatreni1,59,True,False
RT @rohanmlw: #demonetization eye opener video bt i doubt as few jurnos don't want2 hear +ve of @narendramodi @sardesairajdeep @ravishndtv,False,0,,2016-11-23 18:24:28,False,,8.0149162390127e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",neelmani1980,4,True,False
RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha,False,0,,2016-11-23 18:24:23,False,,8.014915996832398e+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",smsivanesan,30,True,False
RT @nmleo1: Is #ModiSarkar 's #achedin campaign on #demonetization a #goebbelsian #masterstroke that turns blind eye to #GroundZero shocks?,False,0,,2016-11-23 18:24:18,False,,8.014915795464069e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JOYEEE990,1,True,False
#demonetization is Communal and Black Money is Secular...,False,0,,2016-11-23 18:23:57,False,,8.014914921370746e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mayankjain100,1,False,False
RT @nmleo1: @MinhazMerchant #demonetization hardly affects tax dodgers &amp; #NETAS who excel in #CashlessCorruption &amp; have multiplied bad weal,False,0,,2016-11-23 18:23:55,False,,8.01491483354284e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JOYEEE990,1,True,False
"Section 144 issued by District Magistrate, #Indore prohibiting #socialmedia posts on #demonetization, Why??
#citizen https://t.co/5Tn7aNBTsi",False,0,,2016-11-23 18:23:12,False,,8.014913032298168e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ESchool_India,0,False,False
RT @pGurus1: CPI-M opposes Co-op Banks in West Bengal but supports them in Kerala! Y Pawar U-turned on #Demonetization https://t.co/ThzaV7r,False,0,,2016-11-23 18:22:44,False,,8.014911871820145e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",InnovativeHindu,29,True,False
RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o https://t.co/vCWWjxu0wb,False,0,,2016-11-23 18:22:37,False,,8.014911580484076e+17,,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>",pratyushmayank,0,False,False
"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t",False,0,,2016-11-23 18:22:33,False,,8.014911387921285e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",monojsaha6,15,True,False
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS",False,0,,2016-11-23 18:22:09,False,,8.01491040821715e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",InnovativeHindu,30,True,False
"RT @pGurus1: #Demonetization move of Modi; Who is supporting it, who is opposing it and why? A complete coverage of all parties - https://t",False,0,,2016-11-23 18:22:05,False,,8.014910218131866e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",InnovativeHindu,19,True,False
"RT @ModiBharosa: Huge support for PM @narendramodi s #demonetization Move Across the Nation 
80-86% people back demonetization: C-voter su",False,0,,2016-11-23 18:20:40,False,,8.014906675454894e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BsBaban,270,True,False
"Effects of sluggish economy, negative IIP, #Demonetization ! Does the Great Leader even bother except continued dra https://t.co/DuvbMtEi1Y",False,0,,2016-11-23 18:19:37,True,,8.014904018111652e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sventure007,0,False,False
RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o https://t.co/5J6jZXbY81,False,0,,2016-11-23 18:19:22,False,,8.01490339978707e+17,,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",UnRealMohit,0,False,False
"RT @bhaiyyajispeaks: Here @sardesairajdeep struggling for one answer against #Demonetization, He should have taken some Congress leader lik",False,0,,2016-11-23 18:19:02,False,,8.01490253370585e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HRajshri,1868,True,False
#Demonetization and the Indian Economy An Interview by Doordarshan with Sri S.Gurumurthy https://t.co/LdeBCADAeR,False,0,,2016-11-23 18:18:27,False,,8.014901095728577e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AllinoneIndia,0,False,False
RT @NilimDutta: After much contemplation I have come to the conclusion that nothing explains Modi's #DeMonetization better than monumental,False,0,,2016-11-23 18:17:23,False,,8.014898382602894e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",imprakrut,2,True,False
"RT @Currency_crisis: What #demonetization indicates is loss of freedom
Besides laws/constitution/court/cops 2 govern people
govt is using m",False,0,,2016-11-23 18:16:40,False,,8.014896613695529e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",everG3,1,True,False
Ppl of India extending overwhelming supprt to @narendramodi Ji's crusade agnst black money.Survey @timesofindia https://t.co/Axqd8FOwpK,False,0,,2016-11-23 18:16:33,True,,8.014896288804741e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ganeshjoshibjp,0,False,False
"People from rural areas are coming to Delhi just to withdraw cash. 

They have given up on govt. logistics. 

@ravishndtv #Demonetization",False,0,,2016-11-23 18:15:09,False,,8.014892797004759e+17,,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",Rohit_V,0,False,False
RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o https://t.co/vv9qtRqqSI,False,0,,2016-11-23 18:12:28,False,,8.014886038094561e+17,,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",Priyad_01,0,False,False
"#demonetization 90 % of population is accepting it as country building measure, why these so called politicians opp https://t.co/f91j6tZjZ2",False,0,,2016-11-23 18:11:43,True,,8.01488415061459e+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sanjeevkriocl,0,False,False
"15 days after #demonetization, country is still suffering 4m acute shortage of currency notes.
Big loss 2 economy
Share market tumbling
SOS",False,0,,2016-11-23 18:11:37,False,,8.014883896901715e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SaubhagyaVarma,0,False,False
"RT @ashu3page: Man ends life over fund shortage ahead of daughters wedding in Gujarat. #Demonetization 
https://t.co/DGAI5cf05y 
https://t",False,0,,2016-11-23 18:11:08,False,,8.014882655680756e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",khan96faiz,132,True,False
RT @ModiBharosa: Putting Nation over Party Politics #nitishkumar supports PM @narendramodi on #Demonetization https://t.co/UodwXdPMmG,False,0,,2016-11-23 18:11:01,False,,8.014882383470469e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nitinpoddar,275,True,False
"RT @TheOfficialSBI: As of today, 33000 thousand ATMs are functioning. - SBI Chairman, Smt. Arundhati Bhattacharya. #Demonetization",False,0,,2016-11-23 18:10:44,False,,8.014881648963748e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ilapakurthi,406,True,False
RT @ashu3page: A man shaved his head at Jantar-Mantar in protest against #Demonetization  on 13th day of the move. https://t.co/IeXuia3J0X,False,0,,2016-11-23 18:10:34,False,,8.01488124782121e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",gr8india,69,True,False
"Very unfortunate... India slips due to #demonetization 
@BJP4India @PMOIndia @RanaAyyub @TruthOfGujarat @AnupamPkher
https://t.co/6QhcGyBpKw",False,0,,2016-11-23 18:10:18,False,,8.014880568177459e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",razikararvi,0,False,False
"What #demonetization indicates is loss of freedom
Besides laws/constitution/court/cops 2 govern people
govt is using money 2 control people",False,0,,2016-11-23 18:10:14,False,,8.014880391302144e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Currency_crisis,1,False,False
"RT @sitaramlamba: Cooperative banks shut down, sowing season completely disrupted, agri markets &amp; Farmers badly affected #demonetization",False,0,,2016-11-23 18:10:00,False,,8.014879822093395e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Arshkhankhan1,22,True,False
RT @embracetheart: Delete! Pathetic PM who conducts false poll and self praises himself. #demonetization #BogusPoll #ModiScaredOfParliament,False,0,,2016-11-23 18:09:32,False,,8.014878639718849e+17,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",TeenaSingh882,1,True,False
"#Demonetization
https://t.co/0kq8BsJ1iS
When PM is in, opposition is out of parliament.",False,0,,2016-11-23 18:09:12,False,,8.01487780224254e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AmereshSingh,0,False,False
RT @CMOMaharashtra: Watch what @sonunigam thinks about #demonetization .. https://t.co/vXt09c64zY,False,0,,2016-11-23 18:08:59,False,,8.014877269650963e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",enzacdesccom191,428,True,False
RT @ShashiTharoor: . @anandkamal Frankly i don't understand why @narendramodi doesn't address Parlmnt on #Demonetization. It's his duty&amp;wil,False,0,,2016-11-23 18:08:52,False,,8.014876970176512e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sourabhprk,57,True,False
Aam aadmi punished for sins of #blackmoney hoarders. SBI slashes  deposit rates by 1.9% #Demonetization #netascashin https://t.co/rqjsdiGvcG,False,0,,2016-11-23 18:06:41,False,,8.014871482014761e+17,,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>",anilrai,0,False,False
"Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMufflerMan <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BD><ed><U+00B8><U+00A0><ed><U+00A0><U+00BD><ed><U+00B8><U+00AE>",False,6,,2016-11-23 18:06:35,False,,8.014871204644289e+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_avenu,6,False,False
"RT @ANI_news: The queues are not getting longer but are getting shorter day by day: Chanda Kochar,ICIC MD and CEO #demonetization https://t",False,0,,2016-11-23 18:06:00,False,,8.014869764866374e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Jodhpur_Blue,421,True,False
RT @karnataka_ioc: @indianoilcl giving cash through Mini ATMs to people in Hinterland. #IndiaKaDil. Helping rural people in #Demonetization,False,0,,2016-11-23 18:05:41,False,,8.014868947898655e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ioclpunjab,18,True,False
"RT @PIB_India: Watch briefing on #Demonetization by DEA Secy @DasShaktikanta this morning here:
https://t.co/TDj2A6uO5u",False,0,,2016-11-23 18:04:59,False,,8.014867206214163e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rathoreaja,105,True,False
@DeshhBhakt seems deskbhakt was in hibernation mode when GPS enabled 2000 rs was launched by #Modo 4 #demonetization <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>@MonaAmbegaonkar,False,0,DeshhBhakt,2016-11-23 18:04:49,False,8.014449529453445e+17,8.01486677550121e+17,4912204657.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bhau_rokthok,0,False,False
"RT @dhrumilpatel: Looks Ambit Capital, literally Choked with #demonetization, come-on U can't lower d GDP nos by huge margin.
Perhaps, they",False,0,,2016-11-23 18:04:03,False,,8.014864826701087e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",anuuragjain,3,True,False
"RT @bi_india: .@airtelindia takes a bite of the governemnt big #demonetization pie, becomes first #paymentbank to go live

https://t.co/gZv",False,0,,2016-11-23 18:03:56,False,,8.014864568038359e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BeLogicalPlz,2,True,False
The opposition is getting troubled because all their #BlackMoney have become just a piece of paper due to #demonetization #<U+092C><U+0940><U+092E><U+093E><U+0930>_<U+0935><U+093F><U+092A><U+0915><U+094D><U+0937>,False,0,,2016-11-23 18:03:11,False,,8.014862685047767e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AjayGrover29,0,False,False
"@sritara @GabbbarSingh @sidin 
Please read alternative side of story also on #Demonetization &amp; support to PM Modi
https://t.co/SLJoymBy1m",False,0,sritara,2016-11-23 18:02:41,False,8.014841773002957e+17,8.014861422018232e+17,47712007.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Dhriyamana,0,False,False
The effect of #DeMonetization has already shared by @narendramodi  #Action are more important than words https://t.co/TbCC8S5ETc,False,0,ArvindKejriwal,2016-11-23 18:02:37,True,8.01307597018198e+17,8.01486123201499e+17,405427035.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SShettyy007,0,False,False
RT @ShashiTharoor: Joined the line of Opposition MPs demonstrating solidarity on #demonetization &amp;demanding that @PMOIndia address Parliame,False,0,,2016-11-23 18:02:35,False,,8.014861169939086e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tinni_Aphrodite,71,True,False
After much contemplation I have come to the conclusion that nothing explains Modi's #DeMonetization better than monumental stupidity.,False,1,,2016-11-23 18:02:30,False,,8.014860958294794e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NilimDutta,2,False,False
"RT @YSRCParty: Days before #Demonetization announcement, @ncbn sold his Heritage shares,clearly evident that he had prior knowledge of the",False,0,,2016-11-23 18:01:28,False,,8.014858351200787e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nagrulz,33,True,False
"RT @TheOfficialSBI: In view of  current situation, RTGS time  has been extended upto 6:30 PM till 24th November, 2016. #Demonetization http",False,0,,2016-11-23 18:01:23,False,,8.01485813552812e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ilapakurthi,180,True,False
RT ZeeNewsSports: #Demonetization: harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with we https://t.co/TaCfmKF3Cs,False,0,,2016-11-23 18:01:10,False,,8.01485757668094e+17,,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",cyberkingtm,0,False,False
"Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to them no PM Modi?",False,4,,2016-11-23 17:58:40,False,,8.014851302797638e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",roshankar,12,False,False
RT ZeeNewsSports: #Demonetization: harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with we https://t.co/oJrbCBYmH9,False,0,,2016-11-23 17:58:29,False,,8.014850838866821e+17,,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",VihaanSingh20,0,False,False
"RT @_Hinduism_: How come those people crying for line in banks are not crying for line ups here in......

#demonetization https://t.co/ixY1",False,0,,2016-11-23 17:57:21,False,,8.014847982000538e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",zasambhu,22,True,False
#Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season https://t.co/6QNe6KGqaO,False,40,,2016-11-23 17:56:11,True,,8.014845042169774e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ZeeNewsSports,15,False,False
RT @myvotetoday: Modi's #demonetization received massive public approval. So why is opposition worried about common man and create ruckus i,False,0,,2016-11-23 17:54:43,False,,8.014841359612723e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",achintparikh,9,True,False
"Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t.co/2Tt2SfM0g0",False,9,,2016-11-23 17:54:27,False,,8.014840689908285e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",roshankar,9,False,False
RT @IndiaFactsOrg: #Demonetization: The Ultimate Weapon against Black economy https://t.co/fWvEuH2De6 via @IndiaFactsOrg,False,0,,2016-11-23 17:54:06,False,,8.014839797739315e+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JhansiKiRani77,7,True,False
Monumental blunder or monumental plunder or both? #demonetization,False,0,,2016-11-23 17:54:00,False,,8.014839552622675e+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Sukant_Khurana,0,False,False
RT @rishibagree: And they say #demonetization is failure https://t.co/WnjIUqIhdW,False,0,,2016-11-23 17:54:00,False,,8.014839540459192e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sainath_kits,102,True,False
Modi acted against national interest. The way to cashless economy need not be #Demonetization. A badly planned move.,False,0,,2016-11-23 17:53:42,False,,8.01483882079998e+17,,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",karunasanghvi,0,False,False
"RT @rishibagree: More than 700 Fish Vendors across Kolkata have started using e-wallets.
Before #demonetization this number was zero .. Thi",False,0,,2016-11-23 17:53:38,False,,8.014838643129344e+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sainath_kits,947,True,False
